Marca,Modelo,Precio_Promedio
Alfa-romeo,Quadrifoglio,16500.0
Alfa-romeo,giulia,13495.0
Alfa-romeo,stelvio,16500.0
Audi,100,13950.0
Audi,100ls,17580.0
Audi,4000,23875.0
Audi,5000,18920.0
Audi,5000s,17859.2
Audi,fox,15250.0
Bmw,320i,16677.5
Bmw,x1,20970.0
Bmw,x3,28992.5
Bmw,x4,30760.0
Bmw,x5,41315.0
Bmw,z4,24565.0
Buick,century,32461.3
Buick,electra,25552.0
Buick,opel,34184.0
Buick,regal,45400.0
Buick,skyhawk,31600.0
Buick,skylark,35056.0
Chevrolet,impala,5151.0
Chevrolet,monte,6295.0
Chevrolet,vega,6575.0
Dodge,challenger,6377.0
Dodge,colt,7150.5
Dodge,coronet,10761.0
Dodge,d200,7957.0
Dodge,dart,8921.0
Dodge,monaco,6229.0
Dodge,rampage,5572.0
Honda,accord,8003.5
Honda,civic,8192.8
Honda,prelude,8845.0
Isuzu,D-Max,9627.0
Isuzu,MU-X,6785.0
Jaguar,xf,35550.0
Jaguar,xj,32250.0
Jaguar,xk,36000.0
Mazda,626,10345.0
Mazda,glc,11143.1
Mazda,rx-4,8470.0
Mazda,rx-7,15994.5
Mazda,rx2,6795.0
Mazda,rx3,5195.0
Mercury,cougar,16503.0
Mitsubishi,g4,10352.3
Mitsubishi,lancer,6189.0
Mitsubishi,mirage,9779.0
Mitsubishi,montero,6989.0
Mitsubishi,outlander,9525.7
Mitsubishi,pajero,8189.0
Nissan,clipper,13324.0
Nissan,dayz,13499.0
Nissan,fuga,14399.0
Nissan,gt-r,7099.0
Nissan,juke,7799.0
Nissan,kicks,19699.0
Nissan,latio,7174.0
Nissan,leaf,7299.0
Nissan,note,7999.0
Nissan,nv200,9549.0
Nissan,otti,13499.0
Nissan,rogue,7799.0
Nissan,teana,17199.0
Nissan,titan,7349.0
Nissan,versa,5499.0
Peugeot,304,13200.0
Peugeot,504,15007.9
Peugeot,505s,17075.0
Peugeot,604sl,17525.0
Plymouth,cricket,7957.0
Plymouth,duster,12764.0
Plymouth,fury,6470.0
Plymouth,satellite,6692.0
Plymouth,valiant,8921.0
Porsche,boxter,37028.0
Porsche,cayenne,32714.3
Porsche,macan,22018.0
Porsche,panamera,32528.0
Renault,12tl,9295.0
Renault,5,9895.0
Saab,99e,15235.0
Saab,99gle,16830.0
Saab,99le,13605.0
Subaru,baja,9960.0
Subaru,brz,7775.0
Subaru,dl,8590.8
Subaru,r1,9233.0
Subaru,r2,11259.0
Subaru,trezia,7463.0
Subaru,tribeca,10198.0
Subaru,,6122.0
Toyota,carina,8778.0
Toyota,celica,9998.0
Toyota,corolla,9409.8
Toyota,corona,8545.9
Toyota,cressida,17669.0
Toyota,mark,9148.0
Toyota,starlet,12839.5
Toyota,tercel,13474.5
Volkswagen,1131,7975.0
Volkswagen,411,8495.0
Volkswagen,dasher,11293.3
Volkswagen,model,7995.0
Volkswagen,rabbit,11223.8
Volkswagen,super,9495.0
Volkswagen,type,8195.0
Volvo,144ea,16230.0
Volvo,145e,14892.5
Volvo,244dl,18735.0
Volvo,245,16515.0
Volvo,246,22470.0
Volvo,264gl,20522.5
Volvo,diesel,18950.0
