enginesize,curbweight,horsepower,carwidth,citympg,carlength,Brand,cylindernumber,price
130,2548,111,64.1,21,168.8,Alfa-romeo,four,13495.0
130,2548,111,64.1,21,168.8,Alfa-romeo,four,16500.0
131,3086,140,71.4,17,192.7,Audi,five,23875.0
136,2954,110,71.4,19,192.7,Audi,five,18920.0
164,2765,121,64.8,21,176.8,Bmw,six,21105.0
209,3505,182,70.9,15,197.0,Bmw,six,36880.0
90,1874,70,63.6,38,155.9,Chevrolet,four,6295.0
61,1488,48,60.3,47,141.1,Chevrolet,three,5151.0
98,2191,102,63.8,24,157.3,Dodge,four,8558.0
90,1989,68,63.8,31,157.3,Dodge,four,6692.0
110,2289,86,65.2,27,167.5,Honda,four,9095.0
110,2293,100,66.0,25,169.1,Honda,four,10345.0
90,1874,70,63.6,38,155.9,Isuzu,four,8916.5
111,2337,78,61.8,24,170.7,Isuzu,four,6785.0
258,4066,176,69.6,15,199.6,Jaguar,six,32250.0
258,4066,176,69.6,15,199.6,Jaguar,six,35550.0
70,2380,101,65.7,17,169.0,Mazda,two,11845.0
80,2500,135,65.7,16,169.0,Mazda,two,15645.0
183,3515,123,70.3,22,190.9,Buick,five,25552.0
308,3900,184,71.7,14,208.1,Buick,eight,40960.0
140,2910,175,68.0,19,178.4,Mercury,four,16503.0
110,2403,116,65.4,23,172.4,Mitsubishi,four,9279.0
122,2405,88,65.4,25,172.4,Mitsubishi,four,8189.0
97,1938,69,63.8,31,165.3,Nissan,four,6849.0
181,3071,160,67.9,19,170.7,Nissan,six,17199.0
152,3197,95,68.4,28,186.7,Peugeot,four,13200.0
120,3285,95,68.4,19,198.9,Peugeot,four,16695.0
90,1989,68,63.8,31,167.3,Plymouth,four,6692.0
156,2818,145,66.3,19,173.2,Plymouth,four,12764.0
194,2756,207,65.0,17,168.9,Porsche,six,32528.0
151,2778,143,68.3,19,168.9,Porsche,four,22018.0
132,2460,90,66.6,23,176.8,Renault,four,9895.0
132,2579,90,66.5,23,181.5,Renault,four,9295.0
121,2695,110,66.5,21,186.6,Saab,four,12170.0
121,2707,110,66.5,21,186.6,Saab,four,15040.0
108,2120,73,63.6,26,157.9,Subaru,four,7053.0
108,2145,82,65.4,32,172.0,Subaru,four,7126.0
110,2275,56,64.4,38,166.3,Toyota,four,7788.0
122,2458,92,66.5,27,175.6,Toyota,four,11248.0
97,2261,52,65.5,37,171.7,Volkswagen,four,7775.0
97,2319,68,65.5,37,171.7,Volkswagen,four,9495.0
141,3049,160,68.8,19,188.8,Volvo,four,19045.0
130,3157,162,67.2,17,188.8,Volvo,four,18950.0
